"Y.BigMac","Y.Bread","Y.Rice","Y.FoodIndex","Y.Bus","Y.Apt","Y.TeachGI","Y.TeachNI","Y.TaxRate","Y.TeachHours"
16,9,9,65.9,2,890,34.3,20.5,40.2332,39
21,12,19,63.5,0.61,620,19.5,15.9,18.4615,29
19,19,9,55.4,1.57,780,22,16.1,26.8182,40
50,42,25,46.4,0.47,120,4.2,4,4.7619,35
22,19,10,62.9,0.91,590,25.5,20.1,21.1765,39
15,7,7,98.4,2.34,930,78.5,57.6,26.6242,35
16,10,16,64.4,2.21,630,45,28.9,35.7778,36
93,48,16,33.3,0.32,200,4.1,3.9,4.87805,41
54,20,28,36.9,0.36,350,4.1,3.3,19.5122,40
18,11,12,74.7,1.5,590,30.6,18.9,38.2353,24
79,22,21,36.4,0.2,150,1.8,1.6,11.1111,25
43,14,22,43.9,0.53,440,6.2,4.3,30.6452,41
45,28,36,27.3,0.25,150,2.4,2,16.6667,22
76,89,17,49.5,0.2,290,3.5,3.1,11.4286,28
10,7,7,93.2,1.5,1430,47.2,35.5,24.7881,37
16,10,5,78,2.17,940,42.5,24.5,42.3529,37
22,15,16,63.6,0.68,1350,22.8,22.8,0,40
15,8,14,74.7,1.39,1320,41.7,30.8,26.1391,34
15,6,16,62.3,3.43,920,41.9,30.5,27.2076,32
16,7,7,100.6,1.46,1630,76.4,54.8,28.2723,42
19,22,12,75.3,2.15,560,30.5,21.7,28.8525,36
13,27,13,128.2,1.26,1750,47.1,40.4,14.2251,41
36,19,34,51,0.61,890,10.4,8.3,20.1923,36
67,25,20,49.9,0.27,1110,2.3,2.1,8.69565,37
33,11,14,41.1,0.7,480,7.5,5.8,22.6667,38
132,62,46,35.7,0.22,90,2,1.8,10,40
84,13,28,25.7,0.09,310,0.6,0.5,16.6667,36
25,20,10,41.4,0.53,460,10.2,8.5,16.6667,48
55,60,71,74.1,0.15,100,1.7,1.5,11.7647,40
79,38,21,41,0.34,300,4.1,4.4,-7.31707,44
33,18,11,58.7,1.82,810,16,11.8,26.25,35
39,39,24,57.3,0.79,170,17.8,10.7,39.8876,32
16,6,14,69.3,2.08,1930,33.7,24.2,28.1899,39
10,16,8,89.2,1.1,1060,46.7,36.2,22.4839,39
17,7,5,94.9,1.83,950,59.5,45.2,24.0336,41
15,14,14,72.2,1.29,700,58,45.9,20.8621,23
21,15,12,62.2,1.18,740,27.6,21.8,21.0145,40
24,26,19,76.5,0.13,800,13.3,12.6,5.26316,45
62,49,26,63.9,1.46,650,4,3.4,15,48
75,49,15,32.5,0.19,770,8.3,7.5,9.63855,35
10,10,11,44,1.25,700,34,25.7,24.4118,40
21,24,15,67.4,1.07,1660,20.6,13.8,33.0097,24
14,15,11,62.6,1.49,410,30.7,22.5,26.7101,33
30,12,18,41.5,0.25,590,1.8,1.7,5.55556,37
112,38,96,23.5,0.21,200,1.4,1.2,14.2857,36
185,45,70,45.6,0.32,320,1.9,1.6,15.7895,43
12,17,15,109.6,1.5,1790,54.2,37,31.7343,37
18,12,12,102.2,3.7,1000,35.7,26.2,26.6106,38
19,17,18,81.1,1.39,1270,24.9,17.4,30.1205,33
42,17,17,29.4,0.85,310,5.7,4.7,17.5439,43
48,24,28,36,0.34,140,5.3,4,24.5283,42
43,59,20,38.8,0.44,230,2.4,2.2,8.33333,20
26,26,22,75.5,0.83,1210,17.3,11.1,35.8382,24
52,29,20,37,0.45,430,5.9,5.3,10.1695,46
33,47,14,41.2,0.49,200,2.7,2.4,11.1111,21
28,25,38,101.7,0.54,710,27.2,21.7,20.2206,58
30,90,29,64.3,0.48,480,4.3,3.3,23.2558,40
21,26,11,74.7,0.83,790,23,18,21.7391,45
31,21,28,36.4,0.27,150,2.1,1.7,19.0476,40
19,18,15,75.5,2.92,750,32.3,20.8,35.6037,40
19,15,8,62.6,1.48,1010,24.3,17.3,28.8066,38
18,32,12,103.2,0.43,1410,22.3,18.4,17.4888,40
49,34,26,42,1.03,100,5.1,3.6,29.4118,25
31,17,16,69.4,1.48,790,13.4,11.1,17.1642,30
10,20,18,129.4,1.64,1010,45.8,38.3,16.3755,49
14,12,10,61,1.31,850,26.5,18.5,30.1887,49
15,13,10,76.4,1.7,1020,28.9,19.8,31.4879,37
62,25,23,33.8,0.24,340,3.7,2.6,29.7297,32
44,17,16,36,0.62,440,5.3,3.4,35.8491,26
